uid,bvid,cdate
7980111,BV1Vf4y1k7Hd,1611033187
10901130,BV1Rp4y1x7QE,1611036014
172683,BV1pU4y147Sf,1611042471
10901130,BV1Gi4y1c7qR,1611043207
36882906,BV19v411W7rz,1611047707
21792949,BV18K411u7Fr,1611048413
454755309,BV1d54y1x7RA,1611050413
10901130,BV14h411y7QR,1611050413
49676,BV11h41127g2,1611050413
7676999,BV1MT4y1K7AP,1611052641
10901130,BV19X4y1K7T7,1611056613
142371069,BV1Py4y1m7gB,1611057702
486287787,BV1at4y1z7yx,1611059431
36882906,BV1TT4y1K7Xb,1611059304
32365949,BV1sK411u7FW,1611061137
67618650,BV1vV411t72x,1611061902
473519710,BV1Yh41127Lu,1611066048
2435227,BV1bf4y1k7EX,1611067265
36882906,BV17U4y1474P,1611067332
3670216,BV1by4y1H7pi,1611073475
36882906,BV1QK4y1W7gc,1611079218
