Sender,DmContent,AppearTime,SendTime,FontColor,DmType
d15decf0,兽有毒！,33.479,1611060616,15138834,1
51adc3bd,这样的视频你不投币你硬币留到啥时候投。去看结尾的coda吧，升华也很好，语文作文能用上的,0.176,1611060992,16777215,1
39563681,那是后印象主义,329.485,1611061549,16777215,1
2fd13eb4,同居时光？你可够了,340.772,1611059820,16777215,1
a3237bb,高更不朽，毛姆的文学地位也不朽,33.739,1611060054,16777215,1
d8ea3972,在一起,221.022,1611058897,16777215,1
b886218,热乎的,10.168,1611058928,16777215,1
10fda6e0,好基友啊本来梵高还有这段故事,305.021,1611059383,16777215,1
4255769e,热乎,2.678,1611059517,16777215,1
44ee0482,塔希提的少女！,48.393,1611057926,16777215,1
c1deac3b,他俩是gay吗？,383.542,1611056160,16777215,1
3c655670,印象派不就是表达自己对这个世界的情绪吗。我凌乱了。,333.089,1611056396,16777215,1
adbecf68,月亮与六便士,15.378,1611056444,16777215,1
adbecf68,大溪地,351.93,1611056727,16777215,1
6560fdc8,如果我生命只剩三个月，我能为世界留下什么,57.019,1611055251,16777215,1
6d91abff,大神,216.439,1611055319,16777215,1
7eb82fb1,热乎,15.86,1611054285,16777215,1
8b52b518,霸占弹幕,6.479,1611054368,16777215,1
