48921,451,253,144,7634,1611072175
48427,449,251,144,7557,1611071246
47849,444,243,144,7469,1611070297
47196,438,240,142,7356,1611069379
46496,435,238,141,7230,1611068449
45725,425,232,139,7107,1611067522
44928,416,223,137,6984,1611066579
41362,375,196,128,6402,1611062553
40443,364,194,124,6261,1611061557
39449,352,189,118,6101,1611060636
38396,346,184,114,5946,1611059642
37352,340,183,114,5806,1611058694
36412,330,180,112,5666,1611057772
35416,329,178,110,5524,1611056880
34307,323,172,107,5335,1611055947
33088,311,165,104,5134,1611055017
31856,303,164,97,4933,1611054123
30531,293,161,95,4719,1611053225
29067,284,155,91,4483,1611052328
27355,270,151,87,4230,1611051444
25501,254,144,82,3915,1611050546
23244,239,140,76,3591,1611049664
21035,220,126,69,3283,1611048784
18647,197,115,67,2958,1611047898
16661,171,96,57,2630,1611047025
14426,147,81,50,2306,1611046137
12039,122,60,44,1964,1611045238
9808,97,48,35,1592,1611044369
7160,79,37,29,1187,1611043498
4209,45,26,19,768,1611042622
1180,15,7,7,218,1611041728
