30873,762,265,606,1962,1611019110
30552,754,262,597,1954,1611018197
30327,748,260,592,1945,1611017280
30060,746,257,586,1935,1611016377
29864,741,256,580,1927,1611015465
29683,736,255,577,1921,1611014542
29521,737,254,575,1916,1611013628
29374,732,253,571,1906,1611012720
29245,730,253,570,1903,1611011800
29164,730,252,569,1901,1611010899
29077,728,252,568,1897,1611009964
28986,726,252,567,1891,1611009047
28929,726,252,567,1886,1611008140
28876,725,252,567,1883,1611007243
28822,724,250,567,1878,1611006296
28779,724,250,567,1877,1611005404
28741,724,250,567,1876,1611004479
28699,724,250,567,1876,1611003557
28655,723,250,566,1873,1611002635
28622,721,250,566,1873,1611001715
28589,720,249,563,1868,1611000792
28528,719,249,562,1867,1610999852
28477,716,247,562,1860,1610998959
28434,714,247,561,1857,1610998042
28371,712,247,559,1850,1610997103
28301,710,246,558,1844,1610996131
28201,708,244,557,1834,1610995208
27995,702,243,554,1828,1610994281
27757,695,242,551,1811,1610993357
27472,692,241,545,1795,1610992438
27160,688,240,543,1788,1610991500
26845,679,234,538,1769,1610990556
26495,667,228,536,1754,1610989655
25995,650,225,529,1726,1610988704
25491,641,223,522,1700,1610987760
24828,620,211,508,1661,1610986825
23917,587,203,491,1620,1610985884
22884,561,195,476,1564,1610984983
21755,527,187,453,1514,1610984047
20648,493,174,426,1434,1610983127
19480,462,162,401,1372,1610982224
18285,439,152,375,1307,1610981320
16950,401,136,339,1218,1610980412
15526,365,125,303,1138,1610979497
14354,339,110,286,1073,1610978583
13355,329,105,270,1011,1610977652
12481,304,94,260,950,1610976735
11599,291,88,240,899,1610975842
10740,270,78,222,850,1610974949
10058,247,72,205,802,1610974066
9298,226,68,188,752,1610973160
8593,209,65,174,712,1610972261
7918,184,58,161,665,1610971365
7186,171,49,149,609,1610970468
6530,162,44,133,570,1610969587
5725,144,40,115,523,1610968704
4944,126,32,99,466,1610967831
4000,94,27,81,381,1610966950
3023,75,22,51,301,1610966056
2173,51,18,34,237,1610965182
1261,25,8,16,161,1610964277
609,15,1,8,90,1610963398
86,2,0,0,13,1610962523
