449441,4781,25429,4680,63248,1611072187
435879,4677,24770,4577,61635,1611071254
419871,4538,24061,4452,59877,1611070311
404146,4398,23234,4323,57888,1611069399
385901,4199,22251,4141,55508,1611068459
363989,3988,21169,3961,52972,1611067531
341284,3804,20089,3737,50247,1611066607
226784,2672,13976,2679,36411,1611062571
199153,2370,12405,2343,32666,1611061577
172797,2048,10771,2071,29054,1611060646
144038,1742,9005,1738,24918,1611059654
111573,1428,7309,1402,20380,1611058702
82281,1070,5409,1015,15881,1611057785
51644,733,3591,660,10813,1611056883
24850,344,1641,344,5454,1611055960
