Sender,DmContent,AppearTime,SendTime,FontColor,DmType
a5708aad,热乎的,22.739,1610888878,16777215,1
ea3bff3,迭代,126.862,1610889768,15138834,1
5dd54ff5,来了,34.091,1610891427,16777215,1
84a811df,妙啊,349.78,1610892353,16777215,1
619b9c1a,哇好,270.019,1610892991,16777215,1
2c57e8a1,老坑黑眼圈好重,328.739,1610893561,15138834,1
2c57e8a1,这好像是第一次清华大学标准学术能力测试的最后一个题,469.171,1610893738,15138834,1
dc406cd2,我的天,320.813,1610893989,16777215,1
2976ad2,妙啊,278.504,1610894388,16777215,1
55e13b66,严谨,46.899,1610894933,16777215,1
190b39f0,为啥能这样做,210.525,1610895003,16777215,1
d00ba76d,标妈谱,11.49,1610895032,16777215,1
a5708aad,热乎的,22.739,1610888878,16777215,1
ea3bff3,迭代,126.862,1610889768,15138834,1
5dd54ff5,来了,34.091,1610891427,16777215,1
84a811df,妙啊,349.78,1610892353,16777215,1
619b9c1a,哇好,270.019,1610892991,16777215,1
2c57e8a1,老坑黑眼圈好重,328.739,1610893561,15138834,1
2c57e8a1,这好像是第一次清华大学标准学术能力测试的最后一个题,469.171,1610893738,15138834,1
dc406cd2,我的天,320.813,1610893989,16777215,1
