9050,6,2,2,216,1610993365
8981,6,2,2,215,1610992446
8912,6,2,2,215,1610991508
8821,6,2,2,215,1610990565
8709,6,2,2,212,1610989664
8569,6,2,2,210,1610988712
8376,5,0,2,206,1610987768
8173,5,0,2,202,1610986834
7927,5,0,2,199,1610985892
7596,4,0,2,194,1610984994
7218,4,0,2,182,1610984054
6774,4,0,2,175,1610983135
6224,3,0,2,164,1610982232
5773,3,0,2,154,1610981330
5202,3,0,2,143,1610980420
4574,3,0,2,134,1610979507
3935,3,0,2,119,1610978591
3239,2,0,2,99,1610977660
2480,2,0,2,83,1610976746
1632,1,0,2,56,1610975850
624,1,0,2,29,1610974957
