Sender,DmContent,AppearTime,SendTime,FontColor,DmType
99bd07a0,今天的女生都很漂亮！,1970.887,1611074406,16777215,1
6f6e2191,。太窒息了,911.685,1611074918,16777215,1
939ad4fe,科普发音像臭bi的韩语哈,1199.871,1611074929,16777215,1
e219874,酒窝闪现,808.078,1611074973,16777215,1
3ab24cc,我的天,3138.737,1611073844,16777215,1
c79c57d1,根叔真的是理想型,2624.072,1611072281,16777215,1
7e727bcb,真的好善良。,3466.556,1611072431,16777215,1
81f07159,孩子好惨,3204.244,1611073077,16777215,1
b33966f2,好惨,3545.115,1611071258,16777215,1
4ec9272d,今天爆出zs事件，感觉这男的很好了,3028.096,1611071384,16777215,1
bc19111,这个妈好看诶,2462.134,1611071415,16777215,1
e7157cb6,韩语同音不同意的词太多了的苦恼,1428.34,1611071466,16777215,1
8ae42f8e,又好笑又可怜,3013.419,1611071684,16777215,1
8ae42f8e,天啊,3119.492,1611071795,16777215,1
712b71e6,不给看就更好奇想知道有多不像,3008.531,1611071841,16777215,1
8ae42f8e,这算啥啊,3213.265,1611071899,16777215,1
8ae42f8e,！还可以这样,3230.939,1611071930,16777215,1
712b71e6,最惨的是孩子,3060.627,1611071943,16777215,1
b33966f2,来了，我要的狗血剧,2704.035,1611070359,16777215,1
4152b745,太厉害了吧！,494.359,1611070385,16777215,1
5e6dd9ed,还好不是和两个女人。,3146.972,1611070436,16777215,1
5e6dd9ed,报警吧？,3207.91,1611070497,16777215,1
874afee5,在我们这不帮忙带的也特别多,2264.223,1611070498,16777215,1
81f07159,197里也只是剪头发,948.734,1611070659,16777215,1
b33966f2,好惨的女的，见过不少！第一次看到这么惨的男的,3194.875,1611070903,16777215,1
c79c57d1,摔跤吧爸吗哈,937.504,1611071053,16777215,1
712b71e6,真的要男生孩子才会知道，觉得孩子是女生女生照顾是天经地义的事,2300.457,1611071066,16777215,1
c8179f5,这孩子不像正峰吗？,1851.481,1611069542,16777215,1
50ffcfd6,来啦,47.698,1611069544,16777215,1
a253d1ae,好绝,3186.115,1611069911,16777215,1
5e6dd9ed,神了,2731.405,1611070021,16777215,1
5e6dd9ed,喜当爹2,2768.331,1611070058,16777215,1
4152b745,哈莫呀,228.838,1611070083,16777215,1
b33966f2,想看伦理大戏那种的,1023.275,1611068553,16777215,1
a253d1ae,啥意思呀,1204.433,1611068587,16777215,1
874afee5,为什么就不能尊重儿子的想法,725.529,1611068587,16777215,1
b6cbbdff,这男的太善良了救命啊,3017.718,1611068885,16777215,1
b33966f2,这不是近亲的么,1556.355,1611069100,16777215,1
13eb0a53,他自己摊的当初不用脑啊自己要搞,2825.73,1611067597,16777215,1
1576c986,好健康啊，我喜欢哈,870.037,1611067666,16777215,1
bad35076,绝哈,1522.707,1611067788,16777215,1
bad35076,笑死我了,1529.449,1611067798,16777215,1
b6cbbdff,还有不拍啊,1719.637,1611067875,16777215,1
e019ee02,上一代的梦想为什么总是让下一代来完成呢,606.909,1611067898,16777215,1
b6cbbdff,哈这么真挚,1754.156,1611067903,16777215,1
a2e6da93,好感动,1071.553,1611067924,16777215,1
13eb0a53,有点好笑,3152.55,1611067933,16777215,1
a253d1ae,好讲开了的话还好要不然等青春期就该爆了,905.713,1611068226,16777215,1
61f46f3e,我同他儿子一样大现在晚上1时看的我,872.681,1611068444,16777215,1
b1f63a5f,接盘侠,2799.273,1611066648,16777215,1
b6cbbdff,哈这么听劝呢,750.974,1611066926,16777215,1
b1f63a5f,这女的有点狠啊逮着一个人坑啊,3149.981,1611067166,16777215,1
a2e6da93,女儿好看啊,383.529,1611067220,16777215,1
2fe3ff8f,来了,58.86,1611063502,16777215,1
dfb0a0af,这也太伤身体了,320.185,1611063906,16777215,1
75550464,哈当时看给我笑吐了,223.806,1611064079,16777215,1
75550464,好家伙女儿太好看了吧,353.257,1611064243,16777215,1
66aedc27,伯贤的声音！,797.054,1611064335,16777215,1
d0bb0e31,请收下我的膝盖,1201.473,1611064752,16777215,1
75550464,哎一古,1054.944,1611064947,16777215,1
75550464,女儿太好看了吧,1098.944,1611064991,16777215,1
75550464,王黄？王黄？,1189.439,1611065103,16777215,1
1108d56,我要xiaosilq,1445.551,1611065273,16777215,1
75550464,哈还让不让孩子活了哈,1338.623,1611065292,16777215,1
5ea4831,了不起,1055.355,1611065516,16777215,1
5ea4831,老哥太惨了。,2795.092,1611065680,16777215,1
5ea4831,就叫个离谱。这户籍制度真的是让人哭笑不得,3154.306,1611066059,16777215,1
1c033de8,我c,2806.563,1611066112,52480,1
1c033de8,有毒吧,2944.778,1611066251,52480,1
b6cbbdff,好看,353.334,1611066532,16777215,1
