Sender,DmContent,AppearTime,SendTime,FontColor,DmType
838b984,来了,0.603,1610856326,16777215,1
9f98a53b,心萪！,10.643,1610856370,16777215,1
af6a6cd0,心萪,35.061,1610856445,16777215,1
c9a90193,弹幕呢,102.771,1610856600,16777215,1
8b122203,芜湖,7.864,1610856662,16777215,1
b82602a6,awsl,48.85,1610856686,16777215,1
fe195b65,心萪,20.3,1610856714,16777215,1
e2113016,八分钟,9.407,1610856815,16777215,1
e4697149,心萪！,11.194,1610856861,16777215,1
8deeecb8,钢板,1.533,1610856951,16777215,1
8deeecb8,心萪,2.813,1610856960,16777215,1
8deeecb8,心萪,4.007,1610856966,16777215,1
8deeecb8,心宝,5.458,1610856985,16777215,1
686c65c,心科我是你的粉丝啊,7.779,1610857133,16777215,1
f35f4444,开口脆,20.003,1610857141,16777215,1
f35f4444,开口脆,37.799,1610857170,16777215,1
d8b6f0de,心萪,58.443,1610857270,16646914,5
686c65c,太好听了,110.459,1610857332,16777215,1
a81ae0b,心萪,4.182,1610857371,16777215,1
743dca,你是谁，你把新科娘怎么样了？！,85.63,1610857502,16777215,1
d84c8dc6,心萪,14.827,1610857512,16777215,1
d84c8dc6,心萪,20.325,1610857517,16777215,1
d84c8dc6,心萪,25.89,1610857523,16777215,1
d84c8dc6,心萪,32.003,1610857529,16646914,1
bb23d9f0,心萪我爱你,6.68,1610857573,16777215,1
d84c8dc6,awsl,10.717,1610857869,16777215,1
d84c8dc6,这质感太棒了，直播是3D就好了呜,28.741,1610857887,16777215,1
368cee9,心萪,6.717,1610857894,16777215,1
4b53e048,WTF幻听,92.942,1610858056,15138834,5
4009c60d,好耶,16.61,1610858249,16777215,1
afbbbca7,新萪,45.744,1610858275,16777215,1
8c092106,心萪,25.099,1610858330,16777215,1
8c092106,我心都化了,44.259,1610858355,16777215,1
2698442c,oh,320.268,1610858384,16777215,1
8c092106,心宝，我的天使,115.899,1610858442,15138834,1
19118b8e,温泉做错了啥,258.185,1610858470,16777215,1
bc6200d1,tql,320.073,1610858486,16777215,1
5eb9582b,卧槽这前奏，想起了年少那段逝去的爱情,64.234,1610858499,16777215,1
2e7cc543,好耶,51.961,1610858520,16777215,1
8c092106,心萪太好看了，呜,191.979,1610858537,15138834,1
c8e9f6d4,哦o,334.871,1610858568,16777215,1
f309f177,心萪,49.111,1610858593,16777215,1
d2e50f0c,wow,37.683,1610858626,16777215,1
9455612d,心萪,44.188,1610858693,16777215,1
687c30d5,心萪,113.139,1610858699,16777215,1
67d8a8a9,心萪,41.111,1610858702,16777215,1
9455612d,心萪,55.558,1610858704,16777215,1
d84c8dc6,AWSL,8.791,1610858769,16777215,1
d84c8dc6,太好看了，留下老父亲的眼泪,22.534,1610858783,16777215,1
cef0750a,呜，科宝麻爱你,195.239,1610858797,16777215,1
fe195b65,心萪,53.172,1610858954,16777215,1
bcdf3c58,好汀！,131.631,1610859002,16777215,1
fe195b65,心萪,104.025,1610859005,16777215,1
9bf7dd89,心萪,21.982,1610859040,16777215,1
9bf7dd89,心萪超可爱！,38.981,1610859057,16707842,1
c44c2c6,太棒了,233.892,1610859072,16777215,1
9bf7dd89,心萪,132.841,1610859151,16707842,1
81faed43,好清楚啊，i了,111.022,1610859210,16777215,1
67aa908c,好汀,139.637,1610859282,16777215,1
7d230383,真好听啊,129.271,1610859580,16777215,1
ae93855f,好美呀,19.604,1610859588,16777215,1
c3266271,清楚单推了,45.056,1610859633,16777215,1
c8e9f6d4,心宝冲呀,16.283,1610859739,16777215,1
cef0750a,科宝,108.262,1610859875,16777215,1
cef0750a,心萪,123.522,1610859894,16777215,1
cef0750a,心萪,125.722,1610859904,16777215,1
615bbf11,魔性改了？,41.419,1610859910,16777215,1
c8e9f6d4,我的天使心萪,133.321,1610859971,16777215,1
cef0750a,啊科宝好棒,187.115,1610859998,16777215,1
cef0750a,科宝，马面,190.295,1610860009,16777215,1
fbaea391,这么清楚的心萪哪里领,18.939,1610860023,16777215,1
cef0750a,科宝麻爱你！,195.795,1610860026,16777215,1
78d2273d,心萪,8.744,1610860038,16777215,1
f8be0350,眼睛比例要调一调,63.704,1610860040,16777215,1
6e47b613,新人泪目,30.779,1610860052,16777215,1
c8e9f6d4,这运镜6啊,189.143,1610860063,16777215,1
abc94ec5,哇哦，竟然是飘雪,18.52,1610860163,16777215,1
abc94ec5,还是我最喜欢的那个版本，哭了,43.001,1610860198,16777215,1
6e47b613,太好听了，心萪,80.659,1610860203,16777215,1
c8e9f6d4,噢哦,328.192,1610860219,16777215,1
6e47b613,心萪,111.619,1610860237,16777215,1
9b1756a0,好听,230.705,1610860248,16777215,1
abc94ec5,09年10年的时候长期循环这首歌,97.419,1610860268,16777215,1
6e47b613,心萪,224.139,1610860352,16777215,1
8d15db73,哈手还撩了一下头发，细节啊,269.954,1610860363,16777215,1
e606d200,心宝,22.069,1610860499,16777215,1
fe69596e,这裙子,28.481,1610860533,16777215,1
e606d200,上调的尾音就跟小猫咪一样用毛的爪子饶了饶我的心,111.081,1610860655,16777215,1
9b1756a0,心萪,42.846,1610861040,16777215,1
86ab2f9,好听,129.539,1610861051,16777215,1
9b1756a0,心萪,104.673,1610861106,14811775,1
18f9a2e1,着不是雪之华？,17.382,1610861201,16777215,1
d1c42daf,awsl,16.791,1610861209,16777215,1
73ff0a1f,心萪,62.085,1610861353,16777215,1
73ff0a1f,心萪,239.925,1610861531,16777215,1
49bea7cf,awsl,17.637,1610861543,16777215,1
57c75bd8,又见雪飘过飘于伤心记忆中,4.36,1610861838,16777215,4
6d90a5f5,这一次特效技术满分,10.622,1610861857,16777215,1
8761d50e,心萪,17.694,1610861888,16777215,1
6d90a5f5,你为什么没有鼻孔,37.581,1610861902,16707842,5
8761d50e,oh,92.449,1610861962,16777215,1
8761d50e,抱心萪,143.109,1610862013,16777215,1
8761d50e,太美了,195.971,1610862066,16777215,1
8761d50e,会！,275.527,1610862145,16777215,1
8761d50e,呜太美了,326.748,1610862197,16777215,1
d17de53e,心萪我的天使,296.449,1610862234,16777215,1
1f98f12,心萪,123.379,1610862320,15138834,1
1f98f12,心萪,0.559,1610862343,16777215,5
1f98f12,心萪！,0.0,1610862360,15138834,1
1f98f12,心萪,0.0,1610862379,15138834,5
1f98f12,心萪太可爱了,33.175,1610862413,16777215,5
669bc13,心萪,105.639,1610862446,16777215,1
669bc13,心萪,112.599,1610862456,16777215,1
669bc13,心萪,117.879,1610862465,16777215,1
96acca07,oh,42.168,1610862506,16777215,1
5b3b8fd0,好听,52.866,1610862543,16777215,1
fe195b65,心萪,11.642,1610862591,16777215,1
8ac42e17,好耶,10.219,1610862766,16777215,1
1f98f12,会！,254.015,1610862773,16777215,1
fc6757a5,厉害,149.359,1610862828,16777215,1
1f98f12,oh,326.324,1610862846,15138834,5
5362f34e,有点憨啊,93.684,1610862935,16777215,1
cac033b2,腿太瘦了呀,62.134,1610862985,16777215,1
9bf7dd89,awsl,22.201,1610863047,16765698,1
9bf7dd89,心萪,65.157,1610863090,16765698,1
9bf7dd89,心萪,74.763,1610863100,16765698,1
9bf7dd89,心萪,88.395,1610863113,16765698,1
5362f34e,oh,332.519,1610863295,16777215,1
785cd2ee,开幕心萪,8.039,1610863553,16777215,1
785cd2ee,心萪我发誓再也不d别的女人了,2.759,1610863591,16777215,1
7462704,开幕新科，i了,3.379,1610863652,16777215,1
