Sender,DmContent,AppearTime,SendTime,FontColor,DmType
838b984,来了,0.603,1610856326,16777215,1
9f98a53b,心萪！,10.643,1610856370,16777215,1
af6a6cd0,心萪,35.061,1610856445,16777215,1
c9a90193,弹幕呢,102.771,1610856600,16777215,1
8b122203,芜湖,7.864,1610856662,16777215,1
b82602a6,awsl,48.85,1610856686,16777215,1
fe195b65,心萪,20.3,1610856714,16777215,1
e2113016,八分钟,9.407,1610856815,16777215,1
e4697149,心萪！,11.194,1610856861,16777215,1
8deeecb8,钢板,1.533,1610856951,16777215,1
8deeecb8,心萪,2.813,1610856960,16777215,1
8deeecb8,心萪,4.007,1610856966,16777215,1
8deeecb8,心宝,5.458,1610856985,16777215,1
686c65c,心科我是你的粉丝啊,7.779,1610857133,16777215,1
f35f4444,开口脆,20.003,1610857141,16777215,1
f35f4444,开口脆,37.799,1610857170,16777215,1
d8b6f0de,心萪,58.443,1610857270,16646914,5
686c65c,太好听了,110.459,1610857332,16777215,1
a81ae0b,心萪,4.182,1610857371,16777215,1
743dca,你是谁，你把新科娘怎么样了？！,85.63,1610857502,16777215,1
d84c8dc6,心萪,14.827,1610857512,16777215,1
d84c8dc6,心萪,20.325,1610857517,16777215,1
d84c8dc6,心萪,25.89,1610857523,16777215,1
d84c8dc6,心萪,32.003,1610857529,16646914,1
bb23d9f0,心萪我爱你,6.68,1610857573,16777215,1
d84c8dc6,awsl,10.717,1610857869,16777215,1
d84c8dc6,这质感太棒了，直播是3D就好了呜,28.741,1610857887,16777215,1
368cee9,心萪,6.717,1610857894,16777215,1
4b53e048,WTF幻听,92.942,1610858056,15138834,5
4009c60d,好耶,16.61,1610858249,16777215,1
afbbbca7,新萪,45.744,1610858275,16777215,1
8c092106,心萪,25.099,1610858330,16777215,1
8c092106,我心都化了,44.259,1610858355,16777215,1
2698442c,oh,320.268,1610858384,16777215,1
8c092106,心宝，我的天使,115.899,1610858442,15138834,1
19118b8e,温泉做错了啥,258.185,1610858470,16777215,1
bc6200d1,tql,320.073,1610858486,16777215,1
5eb9582b,卧槽这前奏，想起了年少那段逝去的爱情,64.234,1610858499,16777215,1
2e7cc543,好耶,51.961,1610858520,16777215,1
8c092106,心萪太好看了，呜,191.979,1610858537,15138834,1
c8e9f6d4,哦o,334.871,1610858568,16777215,1
f309f177,心萪,49.111,1610858593,16777215,1
d2e50f0c,wow,37.683,1610858626,16777215,1
9455612d,心萪,44.188,1610858693,16777215,1
687c30d5,心萪,113.139,1610858699,16777215,1
67d8a8a9,心萪,41.111,1610858702,16777215,1
9455612d,心萪,55.558,1610858704,16777215,1
d84c8dc6,AWSL,8.791,1610858769,16777215,1
d84c8dc6,太好看了，留下老父亲的眼泪,22.534,1610858783,16777215,1
cef0750a,呜，科宝麻爱你,195.239,1610858797,16777215,1
fe195b65,心萪,53.172,1610858954,16777215,1
bcdf3c58,好汀！,131.631,1610859002,16777215,1
fe195b65,心萪,104.025,1610859005,16777215,1
9bf7dd89,心萪,21.982,1610859040,16777215,1
9bf7dd89,心萪超可爱！,38.981,1610859057,16707842,1
c44c2c6,太棒了,233.892,1610859072,16777215,1
9bf7dd89,心萪,132.841,1610859151,16707842,1
81faed43,好清楚啊，i了,111.022,1610859210,16777215,1
67aa908c,好汀,139.637,1610859282,16777215,1
7d230383,真好听啊,129.271,1610859580,16777215,1
ae93855f,好美呀,19.604,1610859588,16777215,1
c3266271,清楚单推了,45.056,1610859633,16777215,1
c8e9f6d4,心宝冲呀,16.283,1610859739,16777215,1
cef0750a,科宝,108.262,1610859875,16777215,1
cef0750a,心萪,123.522,1610859894,16777215,1
cef0750a,心萪,125.722,1610859904,16777215,1
615bbf11,魔性改了？,41.419,1610859910,16777215,1
c8e9f6d4,我的天使心萪,133.321,1610859971,16777215,1
cef0750a,啊科宝好棒,187.115,1610859998,16777215,1
cef0750a,科宝，马面,190.295,1610860009,16777215,1
fbaea391,这么清楚的心萪哪里领,18.939,1610860023,16777215,1
cef0750a,科宝麻爱你！,195.795,1610860026,16777215,1
78d2273d,心萪,8.744,1610860038,16777215,1
f8be0350,眼睛比例要调一调,63.704,1610860040,16777215,1
6e47b613,新人泪目,30.779,1610860052,16777215,1
c8e9f6d4,这运镜6啊,189.143,1610860063,16777215,1
abc94ec5,哇哦，竟然是飘雪,18.52,1610860163,16777215,1
abc94ec5,还是我最喜欢的那个版本，哭了,43.001,1610860198,16777215,1
6e47b613,太好听了，心萪,80.659,1610860203,16777215,1
c8e9f6d4,噢哦,328.192,1610860219,16777215,1
6e47b613,心萪,111.619,1610860237,16777215,1
9b1756a0,好听,230.705,1610860248,16777215,1
abc94ec5,09年10年的时候长期循环这首歌,97.419,1610860268,16777215,1
6e47b613,心萪,224.139,1610860352,16777215,1
8d15db73,哈手还撩了一下头发，细节啊,269.954,1610860363,16777215,1
e606d200,心宝,22.069,1610860499,16777215,1
fe69596e,这裙子,28.481,1610860533,16777215,1
e606d200,上调的尾音就跟小猫咪一样用毛的爪子饶了饶我的心,111.081,1610860655,16777215,1
9b1756a0,心萪,42.846,1610861040,16777215,1
838b984,来了,0.603,1610856326,16777215,1
9f98a53b,心萪！,10.643,1610856370,16777215,1
af6a6cd0,心萪,35.061,1610856445,16777215,1
c9a90193,弹幕呢,102.771,1610856600,16777215,1
8b122203,芜湖,7.864,1610856662,16777215,1
b82602a6,awsl,48.85,1610856686,16777215,1
fe195b65,心萪,20.3,1610856714,16777215,1
e2113016,八分钟,9.407,1610856815,16777215,1
e4697149,心萪！,11.194,1610856861,16777215,1
8deeecb8,钢板,1.533,1610856951,16777215,1
8deeecb8,心萪,2.813,1610856960,16777215,1
8deeecb8,心萪,4.007,1610856966,16777215,1
8deeecb8,心宝,5.458,1610856985,16777215,1
686c65c,心科我是你的粉丝啊,7.779,1610857133,16777215,1
f35f4444,开口脆,20.003,1610857141,16777215,1
f35f4444,开口脆,37.799,1610857170,16777215,1
d8b6f0de,心萪,58.443,1610857270,16646914,5
686c65c,太好听了,110.459,1610857332,16777215,1
a81ae0b,心萪,4.182,1610857371,16777215,1
743dca,你是谁，你把新科娘怎么样了？！,85.63,1610857502,16777215,1
d84c8dc6,心萪,14.827,1610857512,16777215,1
d84c8dc6,心萪,20.325,1610857517,16777215,1
d84c8dc6,心萪,25.89,1610857523,16777215,1
d84c8dc6,心萪,32.003,1610857529,16646914,1
bb23d9f0,心萪我爱你,6.68,1610857573,16777215,1
d84c8dc6,awsl,10.717,1610857869,16777215,1
d84c8dc6,这质感太棒了，直播是3D就好了呜,28.741,1610857887,16777215,1
368cee9,心萪,6.717,1610857894,16777215,1
4b53e048,WTF幻听,92.942,1610858056,15138834,5
4009c60d,好耶,16.61,1610858249,16777215,1
afbbbca7,新萪,45.744,1610858275,16777215,1
8c092106,心萪,25.099,1610858330,16777215,1
8c092106,我心都化了,44.259,1610858355,16777215,1
2698442c,oh,320.268,1610858384,16777215,1
8c092106,心宝，我的天使,115.899,1610858442,15138834,1
19118b8e,温泉做错了啥,258.185,1610858470,16777215,1
bc6200d1,tql,320.073,1610858486,16777215,1
5eb9582b,卧槽这前奏，想起了年少那段逝去的爱情,64.234,1610858499,16777215,1
2e7cc543,好耶,51.961,1610858520,16777215,1
8c092106,心萪太好看了，呜,191.979,1610858537,15138834,1
c8e9f6d4,哦o,334.871,1610858568,16777215,1
f309f177,心萪,49.111,1610858593,16777215,1
