Sender,DmContent,AppearTime,SendTime,FontColor,DmType
cb38bd52,前方高能,94.112,1611053193,16777215,1
e45a791c,LBWNB,40.111,1611053227,16646914,5
335e9c42,感觉不对劲,64.437,1611053416,16777215,1
7022c075,不对劲,38.379,1611053426,16777215,1
6e59dd83,有点不太对劲,94.123,1611053429,16777215,1
ac58917b,感觉会有猝不及防,72.905,1611053528,16765698,5
dfb04f11,来了,14.671,1611053669,16777215,1
c9c1bd89,还热乎,5.147,1611053694,16777215,1
7a8d9a39,猝不及防！,98.034,1611053730,16776960,1
264d1554,文艺复兴,25.38,1611053798,16777215,1
e7dc59db,热乎,13.936,1611053852,16777215,1
5d6f5b25,不太对劲啊,43.326,1611053874,16777215,1
e7dc59db,这视频不对劲，傻孩子，快跑啊,43.615,1611053882,16777215,1
8ce8f951,德得,38.728,1611052560,16755202,5
190f78b8,火钳刘明,28.558,1611052649,16777215,1
6934036d,好耶,13.789,1611052792,16777215,5
7a679b40,boy混入其中,45.671,1611052813,16707842,1
34208e78,赶快撤,30.512,1611052865,16777215,1
6e5f7ae4,热乎,5.293,1611052865,16777215,1
d348d861,文艺复兴,17.51,1611052897,16777215,1
408c2f5f,好活,47.75,1611052903,16777215,1
cc6f8c77,不对劲,35.761,1611053087,16777215,1
cb38bd52,nb,106.255,1611053170,16777215,1
9716c16,针不戳,71.515,1611051540,16777215,1
e595088a,lbwnb,38.889,1611051805,16777215,1
d1920bbe,热乎,8.707,1611051822,16777215,1
70d5317e,28分钟,11.31,1611051846,16777215,1
7fed6200,前排合影,9.197,1611051914,16777215,1
454a423d,快跑！,78.354,1611052075,16777215,1
a3dee054,9分钟,12.109,1611050659,16777215,1
9bf250e9,这也能鬼畜,24.171,1611050768,16777215,1
161206fa,热乎着,7.702,1611050817,16777215,1
9e99358b,猝不及防？,107.267,1611050881,16777215,1
1f9edd82,nb,30.798,1611050895,16777215,1
5a63a481,火钳刘明,8.189,1611050931,16777215,1
ac37b6fc,热乎哈皮牛爷,14.107,1611050983,16777215,1
b42e99b8,感到不对劲,26.874,1611050984,16777215,1
97437e59,喵帕斯爷青回,5.639,1611050987,16777215,1
685d6b36,察觉！,46.811,1611051102,16777215,1
65d7d790,好活,75.595,1611051168,16777215,1
691787b4,刚！,19.457,1611050133,16777215,1
9418f331,新年快乐,11.02,1611050219,16777215,1
141e4ae3,4分钟，热乎,13.337,1611050220,16777215,1
cdb0654a,两分钟！,0.655,1611050235,16777215,1
b369c6f0,全体起立！,38.43,1611050303,16646914,5
4b45136e,两分钟,9.619,1611050315,16777215,1
19f99878,热乎,9.573,1611050322,16777215,1
a1b88366,第八条弹幕！,14.041,1611050340,16777215,1
41557c7e,猝不及防,114.834,1611050344,16777215,1
51628fd1,求生之路呢？,20.714,1611050411,16777215,1
f5c681c9,五分钟的大门,14.974,1611050429,16777215,1
fa7eb407,5分钟,9.911,1611050450,16777215,1
