Sender,DmContent,AppearTime,SendTime,FontColor,DmType
a3dee054,9分钟,12.109,1611050659,16777215,1
9bf250e9,这也能鬼畜,24.171,1611050768,16777215,1
161206fa,热乎着,7.702,1611050817,16777215,1
9e99358b,猝不及防？,107.267,1611050881,16777215,1
1f9edd82,nb,30.798,1611050895,16777215,1
5a63a481,火钳刘明,8.189,1611050931,16777215,1
ac37b6fc,热乎哈皮牛爷,14.107,1611050983,16777215,1
b42e99b8,感到不对劲,26.874,1611050984,16777215,1
97437e59,喵帕斯爷青回,5.639,1611050987,16777215,1
685d6b36,察觉！,46.811,1611051102,16777215,1
65d7d790,好活,75.595,1611051168,16777215,1
691787b4,刚！,19.457,1611050133,16777215,1
9418f331,新年快乐,11.02,1611050219,16777215,1
141e4ae3,4分钟，热乎,13.337,1611050220,16777215,1
cdb0654a,两分钟！,0.655,1611050235,16777215,1
b369c6f0,全体起立！,38.43,1611050303,16646914,5
4b45136e,两分钟,9.619,1611050315,16777215,1
19f99878,热乎,9.573,1611050322,16777215,1
a1b88366,第八条弹幕！,14.041,1611050340,16777215,1
41557c7e,猝不及防,114.834,1611050344,16777215,1
51628fd1,求生之路呢？,20.714,1611050411,16777215,1
f5c681c9,五分钟的大门,14.974,1611050429,16777215,1
fa7eb407,5分钟,9.911,1611050450,16777215,1
