14246,9,15,11,770,1611023733
13670,8,13,11,741,1611022813
13079,8,13,11,708,1611021892
12552,8,13,11,678,1611020962
12011,8,13,11,637,1611020033
11439,8,13,11,603,1611019123
10785,8,11,11,553,1611018210
10077,7,11,10,512,1611017303
9401,7,10,10,477,1611016397
8717,7,9,9,444,1611015481
8061,7,7,9,406,1611014548
7418,7,5,8,373,1611013650
6904,7,5,8,340,1611012726
6470,7,5,7,313,1611011805
6111,7,5,7,292,1611010904
5810,7,3,7,271,1611009984
5591,7,3,7,263,1611009061
5400,7,3,7,246,1611008143
5229,7,3,5,240,1611007245
5090,7,3,5,231,1611006317
4977,7,3,5,228,1611005403
4856,7,3,5,222,1611004464
4717,6,3,4,210,1611003562
4567,6,3,4,202,1611002650
4399,4,3,4,195,1611001727
4189,4,3,3,190,1611000805
3945,3,2,3,185,1610999875
3700,3,2,3,175,1610998962
3407,2,2,3,164,1610998048
3037,2,2,3,146,1610997102
2608,2,2,2,128,1610996152
2122,2,2,2,104,1610995227
1478,2,2,2,81,1610994294
569,0,0,1,37,1610993363
