uid,bvid,cdate
1685024055,BV1Zv4y1Z7qY,1611031485
1685024055,BV1iy4y1m7mF,1611033630
1685024055,BV1iK411u72f,1611034486
1685024055,BV1oT4y1N7FT,1611034008
1685024055,BV17f4y1k7pC,1611036813
1685024055,BV1sh411y7uP,1611038687
1685024055,BV1vo4y1o7Yt,1611038455
1685024055,BV1jK4y1W7KY,1611045479
1685024055,BV1tK4y1W72G,1611046408
1685024055,BV1qK411u7RL,1611048165
1685024055,BV1Dh41127fP,1611049340
1685024055,BV1ur4y1M7QR,1611050015
1685024055,BV1Tr4y1M7bj,1611052102
1685024055,BV1rX4y1K7Yz,1611052594
1685024055,BV1Ez4y1S7yk,1611055289
