Sender,DmContent,AppearTime,SendTime,FontColor,DmType
12644df,疯了，抬走，下一个,121.827,1610872516,16777215,1
ce4252a0,耳机坏了,36.948,1610872550,16777215,1
e103f51c,上头了,36.219,1610872552,16777215,1
36bc5e50,干得漂亮,33.187,1610872660,16777215,1
5a3224d0,哈这不是表情包老哥嘛,173.876,1610872699,16777215,1
e802ec7,试图骗过米忽悠,44.284,1610872718,16777215,1
cd68c447,是不是说的起飞吗？我听着像,11.058,1610872748,16777215,1
4046f39f,音量诉讼,43.868,1610872761,16777215,1
41d5289a,oh,204.703,1610872785,16777215,1
cd68c447,是不是每次十连来一次,32.678,1610872787,16777215,1
d245b2b4,石乐志,106.469,1610872937,16777215,1
faa80c7,上头了,186.499,1610873046,16777215,1
ef6667e2,梦幻联动手动狗头,176.482,1610873063,16777215,1
84e864c1,oh！,205.429,1610873109,15138834,5
ef6667e2,oh,198.153,1610873110,16777215,1
f0c89c0e,西八,83.662,1610873111,16777215,1
79d91d00,笑死了,181.101,1610873196,16777215,1
20d586ef,令人安心的蓝光,131.339,1610873416,16777215,1
873831c,西八老马,40.219,1610873608,16777215,1
afba5598,玄学这东西，你说神不神奇，刚换的金仙灵，下一发单抽,12.105,1610873763,41194,1
afba5598,我一直以为之前视频里那些阴间配音是谁？原来是g先生本人,21.709,1610873772,41194,1
e3602100,欲席又止,41.401,1610873802,16777215,1
280b97e,前排提醒请调低音量已去世,0.339,1610873807,16777215,5
b29da3e3,一分钟都不到,1.259,1610871653,16777215,1
c718a29b,前方羊叫，请降低音量！,7.819,1610871772,15138834,5
6c31d5c1,逐渐狰狞,151.139,1610871790,16777215,1
d240e8b9,西巴,41.013,1610871863,16777215,1
ce4375ac,请求野生字幕组,1.256,1610871898,16777215,1
ee0cd239,自欺人式抽卡,132.519,1610872030,16777215,1
88591e17,xswl,153.234,1610872068,16777215,1
69fc0aac,韩国祖安,59.939,1610872104,16777215,1
45f35222,疯啦,121.843,1610872116,16777215,1
34e8d61b,西八老妈jpg,107.278,1610872180,16777215,1
34e8d61b,哈不行了哈笑岔气了,150.12,1610872236,16777215,1
15563e1c,这TM是直播配音啊，6,122.079,1610872415,16777215,1
12644df,疯了，抬走，下一个,121.827,1610872516,16777215,1
ce4252a0,耳机坏了,36.948,1610872550,16777215,1
e103f51c,上头了,36.219,1610872552,16777215,1
36bc5e50,干得漂亮,33.187,1610872660,16777215,1
5a3224d0,哈这不是表情包老哥嘛,173.876,1610872699,16777215,1
e802ec7,试图骗过米忽悠,44.284,1610872718,16777215,1
cd68c447,是不是说的起飞吗？我听着像,11.058,1610872748,16777215,1
4046f39f,音量诉讼,43.868,1610872761,16777215,1
41d5289a,oh,204.703,1610872785,16777215,1
cd68c447,是不是每次十连来一次,32.678,1610872787,16777215,1
d245b2b4,石乐志,106.469,1610872937,16777215,1
