Sender,DmContent,AppearTime,SendTime,FontColor,DmType
a16c82a,语言学纲要？,21.82,1611109613,16777215,1
a78d71f4,老父亲感叹,56.476,1611109685,16777215,1
a78d71f4,暖床,90.41,1611109719,16777215,1
5f3e0a77,语言学纲要,23.837,1611108754,16777215,1
275a3d2c,师哥，我可以,11.799,1611108926,16777215,1
18373d29,这师哥管真多，虽然他好帅，我好爱,17.463,1611108950,16777215,1
18373d29,亲一口,50.335,1611108983,16777215,1
18373d29,尤其是晚上，千万不要把他当人,76.886,1611109030,16777215,1
a0262070,你们还没放假？,28.426,1611109152,16777215,1
719c4925,师哥，我可以,23.22,1611109163,16777215,1
869882e0,热乎的哈,8.085,1611109498,16777215,1
a5ead1f7,语言学纲要？,31.626,1611108353,16777215,1
d033d76c,真爱,86.958,1611108411,16777215,1
d94c874d,暖床,82.199,1611107156,16777215,1
f0a14e08,热乎的,90.41,1611107607,16777215,1
