Sender,DmContent,AppearTime,SendTime,FontColor,DmType
2fbdfe29,囤点弹幕晚点再看,3.698,1610863477,16777215,1
c5067908,这么早啊杰,19.38,1610863600,16777215,1
eca1a1d6,热乎的,4.289,1610863611,15772458,1
c5067908,久不用尊重了嘛,44.38,1610863625,16777215,1
6c1f5141,默学习,314.916,1610863666,16777215,1
1d4377f6,还热,11.056,1610863672,16777215,1
cd26e723,南极电商还能抢救一下吗。176的时候全仓梭哈了。,88.706,1610863683,16777215,1
9b58ae30,白云区,245.94,1610863695,16777215,1
d4ff48c5,这是小九确信,23.152,1610863978,16777215,1
9f267675,热乎,4.009,1610863984,16777215,1
eca1a1d6,好家伙,283.869,1610863986,16777215,1
5996a74b,劳模,14.022,1610864168,16777215,1
d4ff48c5,暴露了,302.362,1610864263,16777215,1
924517ba,充个电再看,5.419,1610864264,15138834,1
4cc4906c,打骨折,261.674,1610864335,16777215,1
4cc4906c,庄家要去把别人打骨折,271.757,1610864346,16777215,1
ec34cf61,xh,525.267,1610864362,16777215,1
ec34cf61,喜欢庄家,539.506,1610864376,16777215,1
4cc4906c,实锤了,307.175,1610864381,16777215,1
a8b7a21e,劳模,26.487,1610864383,16777215,1
3a2f940,九梗,47.887,1610864390,16777215,1
2fbdfe29,囤点弹幕晚点再看,3.698,1610863477,16777215,1
