Sender,DmContent,AppearTime,SendTime,FontColor,DmType
aefba0fb,一心干饭,93.414,1611045445,16777215,1
8eb885bb,好可爱啊qwq,118.983,1611045505,16777215,1
f3e696fd,卧槽,54.74,1611045753,16777215,1
63c64263,cobi这种小奶猫awsl,92.905,1611045777,16777215,1
2ce116c8,Cobi太可爱辣,0.0,1611044852,16777215,1
ec125b9b,各国语言都说一次总有一种会学会哈,99.032,1611043832,16777215,5
92b27a82,小吃货,38.353,1611044089,16777215,1
866504ec,抱住手吃,55.796,1611042700,16777215,5
2c0d973e,来了,3.597,1611042957,16777215,1
68c8e47b,孩子饿了快点给吃的,55.468,1611041720,16777215,1
28048451,好可爱！,208.148,1611041995,16777215,1
116650e0,真一条猫,29.441,1611042098,16777215,1
ac305857,cobi真的聪明,102.315,1611041276,16777215,1
4fc3c208,关上849的大门,6.235,1611040365,16777215,1
538718c8,我们家的为啥就一直学不会捏,84.319,1611039521,16777215,1
538718c8,难道要我说韩文嘛哈,95.119,1611039546,16777215,1
706fe335,第一条弹幕,15.783,1611038113,41194,1
263fe30b,热乎的,20.902,1611038274,16777215,1
