29628,254,95,315,1408,1611021800
28764,241,90,308,1371,1611020871
27869,232,88,295,1340,1611019944
26982,227,88,283,1315,1611019029
26029,221,87,274,1296,1611018118
25023,216,87,271,1263,1611017191
23962,208,81,263,1215,1611016294
22987,200,81,253,1181,1611015382
22109,196,80,247,1148,1611014458
21311,188,80,243,1123,1611013544
20672,184,80,242,1105,1611012634
20173,183,80,239,1095,1611011715
19797,183,80,237,1082,1611010811
19535,178,80,237,1078,1611009885
19343,176,80,235,1070,1611008966
19166,175,78,235,1066,1611008052
19032,172,78,234,1060,1611007143
18881,170,78,233,1057,1611006217
18725,168,76,232,1051,1611005308
18570,166,76,231,1047,1611004381
18451,165,76,231,1042,1611003464
18288,163,76,231,1033,1611002546
18124,161,76,228,1026,1611001620
17952,160,74,226,1021,1611000697
17793,160,74,225,1017,1610999769
17657,160,74,224,1012,1610998864
17437,157,74,221,1008,1610997962
17148,149,74,221,1002,1610997005
16887,148,72,221,991,1610996058
16508,146,72,219,980,1610995123
16071,140,72,216,968,1610994201
15638,132,70,211,951,1610993260
15119,128,70,205,929,1610992333
14475,127,68,200,910,1610991393
13673,120,66,196,881,1610990480
12732,110,64,182,842,1610989566
11417,104,54,172,810,1610988618
10490,101,52,163,778,1610987675
9864,97,47,153,738,1610986733
9160,88,44,146,698,1610985798
8443,77,44,136,656,1610984894
7661,69,40,128,605,1610983963
6720,63,39,117,544,1610983058
5991,56,33,111,508,1610982138
5387,53,31,98,467,1610981224
4865,50,29,88,422,1610980330
4272,44,27,74,386,1610979420
3713,38,25,64,349,1610978497
3138,33,20,54,311,1610977548
2573,26,16,46,276,1610976642
1954,22,13,34,231,1610975763
1543,19,13,29,203,1610974863
1250,16,12,22,169,1610973976
964,10,12,13,137,1610973065
674,6,12,9,105,1610972165
328,3,9,5,56,1610971281
